,tweet,still_exists,in_english,sarcasm,additional_comments,antisemitism_rating,disagree_with,sentiment_rating,calling_out,is_about_the_holocaust,ihra_section
64,"@realDonaldTrump Hey, rapist, you should apologize to\n\nBlacks, Mexicans, nonwhites, Muslims, Christians, Jews, women, disabled, migrants, refugees, C Park 5, Barack Obama, Congress, contractors you didn’t pay, students you swindled, women you raped, people you insulted...\n\nhttps://t.co/TddyHcKl3X",True,True,False,No comments.,2,False,4,True,False,13
65,"\Israel invests considerable resources there on infrastructure and social services, but non-Jews are not allowed to live in the settlements - even though they are often built on confiscated land privately owned by Palestinians\ https://t.co/o9PG9Wbctc",True,True,False,No comments.,4,False,3,False,False,10
66,"Why are we fucking talking about whether or not democrats hate Jews?\n\nThis is the problem with the media. Trump pulls some comment out of his ass &amp; the media talks about it to death. He's the one who hates Jews. He's deflecting, AGAIN! Knock this crap off",True,True,False,No comments.,2,False,3,True,False,13
67,"On International Holocaust Remembrance Day, I remember 6 million Jews, including family I never knew, slaughtered by the Nazis. Thanks @ChelseaFC for this powerful video reminding us that each of us must fight anti-Semitism, bigotry and hatred in our own communities. #NeverAgain https://t.co/WJMa5GUnWF",True,True,False,Rep. Deutch is Jewish.,1,False,5,True,True,13
68,The President is signing an executive order enshrining the anti-Semitic accusation of dual loyalty against American Jews. https://t.co/DHl2TGqlLY,False,True,False,Tweet not found.,3,False,3,False,False,13
69,"Mass grave of 1,000 Jews found under Belarus shooping mall site. “They included men, women, and children, all with gun shot wounds in their skulls.”  \n\nOnly 19 people out of 28,000 survived the liquidation of the Brest ghetto. #Shoah #Holocaust \n\nhttps://t.co/S56QhHPzDk",True,True,False,No comments.,1,False,3,False,True,13
70,"Only in America could a shooter who hates Trump for being too kind to Jews and Israel, be stopped by a armed off duty bordrr patrol agent then become politicized in the media as it being Trump’s fault and a reason for stricter gun control\n\n🤔",True,True,False,No comments.,2,False,4,False,False,13
71,@twlldun It’s also exactly the middle of Hanukkah - not just a ‘Wednesday’ for Jews,False,True,False,No comments.,3,False,3,False,False,13
72,A heart-breaking moment captured in an SS photograph of a group of Hungarian Jews near gas chamber IV at #Auschwitz II-Birkenau in or around May 1944. \n\nA child found a flower &amp; is giving or showing it to an older boy.\n\nAll the people in the picture were gassed moments later. https://t.co/7Sssm7bpsp,True,True,False,No comments.,1,False,5,True,True,13
73,"The Right replaced Treitschke's slogan ""The Jews are our misfortune!"" with ""Israel is our misfortune!""

https://t.co/QDVezvNgkq",True,True,False,No comments.,1,False,4,True,False,13
74,"Immigrants, Jews, and allies in Boston right now.

Shutting it down. Chanting:

“Never Again means Abolish ICE”

 https://t.co/C0NOIYDxMq",False,True,False,Tweet not active.,3,False,3,False,False,13
75,"It’s unclear who @POTUS is claiming Jews would be “disloyal” to, but charges of disloyalty have long been used to attack Jews. As we’ve said before, it's possible to engage in the democratic process w/o these claims. It's long overdue to stop using Jews as a political football.",True,True,False,No comments.,1,False,5,True,False,13
76,World Israel News: Jexodus to Exodus: Movement to wean Jews from Democratic party expanding https://t.co/sAZAfNKIN6,True,True,False,No comments.,2,False,4,False,False,13
77,"ADL: Assaults on US Jews rise in 2018, anti-Semitism at ‘near-historic’ high https://t.co/CdMiNAiRgX",False,True,False,No comments.,3,False,3,False,False,13
78,"@SteveScalise @DonaldJTrumpJr @RepLeeZeldin Yes Sir, pray all religious beliefs be respected, pray for  the Jews who died horrifically during the Holocaust as well as the Christians who protected them, whose lives were ended as well.  Everyone, pray for Potus &amp; leaders who desire to follow God’s guidance for our HOMELAND.",True,True,False,No comments.,1,False,4,True,True,13
79,"@MaraWilson @BruceBartlett @joshrogin Where did she hate Russian Jews? Her own grandfathers were from Russia. In her youth, she was upset that she couldn’t fully assimilate in German society, but she later worked with Youth Aliyah. And she was only 17 when she had a fling with Heidegger 1923.",True,True,False,No comments.,2,False,2,False,True,13
80,@Steve_Cooke My comment was not condoning his. I was pointing out that it is factually accurate that there are Jews in the American government and certainly pressure groups who back wars as it is favourable to Israel's Geo-political interests mostly.,True,True,False,No comments.,4,False,1,False,False,9
81,"I follow back MAGA \n\n“Jews are Allah’s enemies,” according to Cleric Muhammad.\n\nWhen growing up, I heard,”West is west &amp; east is east&amp; never the Twain shall meet.”\n\nRETWEET if you don’t think extreme j1had1sts will ever integrate w/western values. https://t.co/niMYyz2BVb",True,True,False,No comments.,2,False,4,True,False,13
82,"Here's the real history behind Netflix's \The Red Sea Diving Resort,\ based on the story of Ethiopian Jews who were smuggled to safety in Israel https://t.co/BCPaLH0UBn",True,True,False,No comments.,1,False,5,False,False,13
83,"“She (Congresswoman Omar) keeps on assaulting Jews...” 
Jeff Ballabon, B2 Strategic, CEO https://t.co/WMKN9RQm2n",True,True,False,No comments.,2,False,4,True,False,13
84,@ComradeHellas @AlbanianKDM @NoTrueScotist He was killed by the jews,True,True,False,No comments.,5,False,2,False,False,9
85,"4 months ago after Rep. Omar suggested Jews are not loyal Americans,House Democratic leaders refused to vote on a resolution singularly condemning her words or anti-semitism\n\nNow they have no problem voting on a resolution labeling the President a racist\n\nhttps://t.co/ILHqwouZRx",True,True,False,No comments.,2,False,4,True,False,13
86,"Violence against Americans Jews has become a national crisis. We must fight rising antisemitism now, before more lives are lost. https://t.co/ocLjyh90ks",False,True,False,Tweet not shown.,3,False,3,False,False,13
87,"Donald Trump is so dumb, he claimed to be the ""second coming"" for Jews without realizing that Jews don't believe in the first coming.",True,True,True,No comments.,2,False,3,True,False,13
88,"\The great Sage has spoken; Democratic Party Jews are disloyal to Israel\. What Trump meant was that after he had done so much for Israel, he expected the Jewish population in US to be completely loyal to him in supporting him, instead of openly criticizing him and his policies.",True,True,False,No comments.,2,False,3,True,False,13
89,"If you're reading this, I have just been arrested with 17 other Jews and allies outside of the ICE Detention Facility in Boston, protesting the US government's detention and dehumanizing abuse of immigrants in concentration camps at the border and around the country. https://t.co/rB6U65yTQ4",False,True,False,Tweet not active.,3,False,3,False,False,13
90,2am in Israel.  The ceasefire is about as worthless as Corbyn’s claims to be a friend of the Jews! https://t.co/GLOxHybbKS,True,True,False,No comments.,1,False,4,True,False,13
91,"@RevDrBarber Jews are “The Chosen People”
(Mic drop)",True,True,False,No comments.,2,False,4,True,False,13
92,@RNgeno4real @Asmali77 @MediaCouncilK @NCIC_Kenya Do you know almost 90% of Europeans are uncircumcised with exception of jews?,True,True,False,Related to Kenyan domestic politics. Burial practices in time of COVID-19.,2,False,3,False,False,13
93,China is doing the same thing he did with jews but this time they are Muslims so no one cares https://t.co/WPjZdIUKgW,True,True,False,Compares Uyghur repression to Holocaust.,3,False,3,False,False,4
94,"JUDAISM\nAbraham was the first Jew.\nGenesis 17:1-11\n\nCHRISTIANITY\nChrist King of Jews and bloodline lineage to Abraham, was the first Christian.\nMatthew 1:1-27\n\nISLAM\nAn ungodly cave spirit who almost killed Mohammed aired islam;\n\nQuran 3:67\nAbraham was neither Jew nor Christian ~ https://t.co/8eJSRbZzEd",True,True,False,No comments.,2,False,3,False,False,13
95,FFS (for faiths sake) did his Honour also request that Christians and Jews disavow Psalm 137:9 and many other violent verses in the Bible https://t.co/XV0AJzpS7Q via @smh #Auspol,False,True,False,tweet cannot be found,3,False,3,False,False,13
96,"Antisemites will find literally any excuse to hate on Jews, huh.\n(I happen to LOVE Italy, but that's really neither here nor there.) https://t.co/uacjxYQwJJ",True,True,False,No comments.,1,False,4,True,False,13
97,"@PamelaGeller When Nehemiah &amp; the Jews obeyed God &amp; rebuilt walls of Jerusalem, were they sowing fear/division? Neh 2:12-20\n\nTheir enemies tried to stop them frm rebuilding also\n\nDoes Neh2:20b apply to Pope? Sub USA for Jerusalem:\n\but ye have no portion, nor right, nor memorial, in Jerusalem\",True,True,False,No comments.,2,False,4,False,False,13
98,"Jews are shot dead in synagogues, media outlets run antisemitic cartoons, Jewish  centres are seen as places to 'march on', Jewish businesses are targetted &amp; newspapers run polls about boycotting a music festival just because it is in the Jewish state.\n\nWhat a wonderful world.",True,True,True,No comments.,1,False,4,True,False,13
99,Maybe your darus needs some revision. I propose the following;\n\n- stop name calling &amp; ill-will on the jews and dehumanizing them\n- stop calling believers of Islamic ideology as kuffar and laadheenee \n- stop dehumanizing women and taking their rights\n- stop dehumanizing LGBTQ ppl https://t.co/h3yHjom0Qj,False,True,False,tweet cannot be found,3,False,3,False,False,13
100,"Anti-Semitic doctor, 27, who tweeted that she would 'purposely give Jews the wrong medications' issues public apology - but uses it to hit out at the 'injustice and brutality of the Israeli occupation' https://t.co/n0rOIiym7G",True,True,False,News report.,2,False,3,False,False,13
101,"89% of Orthodox Jews will vote for #PresidentTrump.  That's a huge number from the most involved, identified and educated segment of the American Jewish community.
https://t.co/BeDc1p0R59",True,True,False,No comments.,2,False,5,False,False,13
102,"Let's be crystal clear. When Pres. Trump says that  Jews who vote for Democrats show \either a total lack of knowledge or great disloyalty,\ he is summoning the forces of bigotry and anti-Semitism with all of its blood-stained history.",True,True,False,No comments.,1,False,4,True,False,13
103,@mehdirhasan @pappe54 Israeli historian Ilan Pappe tells the audience historically Jews were treated far better in the Arab world than they were in the Christian world ...until the rise of Zionist ideology https://t.co/RTqdnsI8kO,True,True,False,No comments.,4,False,3,False,False,7
104,@bbcquestiontime @DanielWBmouth Which a number of Jews have been stating for a while but MSM have refused 2 give them platforms....now why might that be?! 🤔 here are some others @JustJewsUK\n@JVoiceLabour @andrewfeinstein @RobertCohen2 @JewishSocialist @TorahJews @jewdas @jewssf https://t.co/FOqmYNfs93,True,True,False,No comments.,3,False,3,False,False,3
105,For Jews who fast on Yom Kippur this is your friendly reminder to consider tapering your coffee or other caffeine intake so its a.more productive and less painful fast. https://t.co/oukfZ6Ukwh,False,True,False,tweet cannot be found,3,False,3,False,False,13
106,"Congresswoman Omar’s statements are deeply hurtful to Jews, including myself. https://t.co/u3f2JHESFA",True,True,False,No comments.,1,False,4,True,False,13
107,What's with the rash of black people attacking and threatening Jews in the Northeastern United States lately? https://t.co/DC32WffNKm,False,True,False,tweet cannot be found,3,False,3,False,False,13
108,"the guy casually calls people the n word, \jokes\ about killing all jews, links to channels that have neo-nazi propaganda in them, sympathizes with the alt right and airs their ideas.... like, you don't live in a vacuum, my dude. you can't just pretend it's all jokes",True,True,False,No comments.,2,False,4,True,False,13
109,"In the Hebrew religion a person becomes adult at age 13 during a religious ceremony. So Jews are deprived of the right to vote for 5 years now, going down to 3 years under this inane proposal. Is this discrimination against Jews?",True,True,False,No comments.,4,False,3,False,False,2
110,"The House’s top Republican attacked three Jewish donors in one tweet last year, warning that these Jews were trying to buy a Democratic majority with their Jewish money. \nhttps://t.co/vPJkinZcBq https://t.co/iMkdmjK3X0",True,True,False,No comments.,1,False,4,True,False,13
111,"He’s right. 

@AOC has desecrated  the memory of 6 million Jews murdered in the Holocaust. https://t.co/Ujr6OLzinE",True,True,False,No comments.,2,False,4,True,True,13
112,"October 7, 1944 | Nazi Germany invades Romania. Between 280,000 and 380,000 Jews were murdered or died in various forms on Romanian soil, in the war zones of Bessarabia, Bukovina, and in the occupied Soviet territories under Romanian's control (Transnistria Governorate). https://t.co/7oYmtgpmwa",True,True,False,No comments.,1,False,4,True,True,13
113,Jeremy parading his Good Jews around like Stalin. https://t.co/QZYUn56iU9,True,True,False,No comments.,2,False,4,True,False,13
114,"Here is a Christian telling me to worry about Jews perpetrating antisemitism before I talk to Christians about Christians perpetrating antisemitism. \n\nSomeone give him a history lesson. Christian allies, come get your guy. https://t.co/G4bGFk0usu",True,True,False,No comments.,2,False,4,True,False,13
115,"@Socialismilucra He killed Jews and Slavs and just about every other group because he was an insane ethno-nationalist not because he was right wing.  He was beyond racist, he thought that Germans (and Austrians) were the master-race and all others were inferior.",True,True,False,No comments.,4,False,3,False,True,4
116,"This has nothing to do with Freedom of speech: \That's the way the Jews work. They are deceivers. They plot, they lie, they do whatever they have to do to accomplish their political agenda,\  https://t.co/DZxuEDVhBF",True,True,False,No comments.,2,False,4,True,False,13
117,"Today #WeRemember the millions of Jews &amp; other victims who were targeted &amp; killed during the Holocaust. Let us stand in solidarity to say #NeverAgain &amp; recommit ourselves to the fight to root out anti-Semitism, hate, bigotry &amp; intolerance in our society. #HolocaustMemorialDay",True,True,False,No comments.,1,False,4,True,True,13
118,"Pope Francis says politicians who attack Jews, gypsies &amp; gays remind him of Hitler — RT World News https://t.co/l2nhsJd174",True,True,False,No comments.,2,False,3,True,True,13
119,NEW: Synagogue shooter reportedly ID'd as John Earnest; manifesto accuses Jews of trying to destroy white race through immigration  https://t.co/MYASG1eSnG,True,True,False,No comments.,1,False,3,True,False,13
120,".@IlhanMN can barely read. It was painful to watch.\n\nBUT you too can be a stah ⭐️ - hate America, hate Jews, hate Trump, support jihad. Voila!",True,True,False,Islamophobic content.,2,False,4,True,False,13
121,@jeremycorbyn But what about the Jews?,True,True,False,No comments.,2,False,4,True,False,13
122,@DVATW Answer my question - are working class white people whites? Are working class Jewish people Jews? Stop your hateful rhetoric and focus on your own community.,True,True,False,No comments.,2,False,4,False,False,13
